id_comentario_anonimizado,comentario,final_misoginia,flag_misoginia,final_toxicidade,flag_toxicidade
comentario_1842406,"@  tá vendo que relato padrinho, que essas pilantras são capazes de aprontar, quem não ouvir seus conselhos vai pra sarjeta, enquanto a pilantras vai tá sentando em várias mandiocas",1,1,1,1
comentario_655774,Venha logo asteroide e acaba com essa humanidade doentia e nojenta. Tudo por grana e fama!,0,1,1,1
comentario_2750089,"UM mentiroso isso sim porque o ferimento no braço da Ana, todo mundo que assistiu o Programa apresentado pela Ana na Record viu muito bem o braço dela FERIDOA",0,1,1,1
comentario_2575214,Porque sera que nao me assusto com isso nos dias de hoje 😮,0,1,0,1
comentario_306692,É pior que a maioria delas se orgulham do passado delas. Ainda bem que o cara descobriu se não estaria condenado a viver em um inferno pelo resto da vida.Esse rapaz teve foi um livramento dos grandes e com certeza deve ter dado testemunho a outros. O futuro de uma pessoa ser bem sucedida na vida é ter um bom currículo e bom histórico  no passado para que o  futuro será excelente e próspero na vida.,1,0,1,0
comentario_570789,"sempre é assim quando é pego começa chorar kkkkkk, e ainda culpa os homens é brincadeira absurdo",1,0,1,0
comentario_1338784,"A hipocrisia feminina, como sempre, é muito fácil de se demonstrar. Basta apenas que um homem fizesse algo parecido em relação às despesas de casa e dizer:""Não sou teu pai."" A chuva de ódio feminino em relação ao sujeito seria simplesmente INTERMINÁVEL. Obrigado pelos bons conselhos de sempre, Padrinho.",1,1,1,1
comentario_68694,A história da chave e do cadeado,0,1,0,1
comentario_2910234,"@ -et8so ele não combina, só pede permissão antes de gravar kkkkkk",0,1,0,0
comentario_1496932,Imagina aguentar essa doida berrando no teu ouvido todo santo dia.,1,1,1,1
comentario_2024273,"Não precisa ser raparigueiro para cair nesse golpe, basta ter o azar de dar carona para uma vagabunda destas daí, aqui em Brasília muitos coroas caíram nesse golpe de dar carona para certas minas bonitas!",1,1,1,1
comentario_902047,"TaMas era só um questionário para registrar sua profissão. Lá não tem opção de explicação sobre Oque é ser uma dona de casa, então isso foi em vão somente para seu reconhecimento.",0,1,0,1
comentario_1848912,"  está sentindo o que a maioria delas cobram de seus parceiros, trabalhar fora, ajudar nos trabalhos de casa e  ser amoroso...🤷🏽‍♀️",0,0,0,1
comentario_2328204,"Eu concordo! Não estou falando de educação respeitosa, mas sim onde os pais sabem se posicionar e mostrar autoridade, e realmente educar e preparar seus filhos para essa selva que chamamos de ""viver em sociedade"" kkk",0,1,0,1
comentario_733830,"Os bovinos agradece pelas referências dos mugidos padrão. MMMúúúúúúúúúúúú... ., 👀🐂🐃🦬🐃🐂😂😂😂😂😂😂",0,1,0,1
comentario_2374701,A conta chega. Zuou como se não houvesse amanhã. Só que o amanhã chegou.,0,1,0,1
comentario_2717882,"Isso não é verdade, tem mulheres honradas sim. Eu me converti criança e graças a Deus nunca fiz coisas erradas. Peco porque perfeição só em Jesus, mas nunca fiz sexo de nenhuma forma com ninguém, me guardo para meu futuro esposo. Tento ser uma pessoa melhor a cada dia. Não generalizem, assim como tem mulheres que não prestam, tem muitos homens também. Contudo, ainda tem pessoas de valor.",1,0,0,1
comentario_1995049,O egoísmo é foda... Às vezes pensar somente em si faz o outro sofrer. E quem não tiver empatia para se colocar no lugar do outro não vai conseguir enxergar os problemas. Quando resolver abrir os olhos será tarde demais.Mas é isso. As pessoas não valorizam as boas coisas que possuem. Costumam valorizar só depois que perdem ou quando fazem as escolhas erradas.É como esse marido imbecil.,0,1,1,1
comentario_2625054,E ajudar o ajudante a ser pedreiro… casei com um ajudante e de tanto falar na cabeça dele hoje ele é pedreiro e eletricista.,0,1,0,1
comentario_311009,Cara que pega mulher casada tem que ter consciência que um dia a conta pode chegar e tenho até o valor e os valores são 38.  380  ponto 40 ou outros calibres então tomem cuidado,0,1,1,1
