id_comentario_anonimizado,comentario,final_misoginia,final_toxicidade,texto_analise,score_perspective_max,latencia_api,detalhe_toxicity,detalhe_severe,detalhe_identity,detalhe_insult,tipo_origem,unified_label,original_label_column,threshold_aplicado,pred_label
comentario_306692,É pior que a maioria delas se orgulham do passado delas. Ainda bem que o cara descobriu se não estaria condenado a viver em um inferno pelo resto da vida.Esse rapaz teve foi um livramento dos grandes e com certeza deve ter dado testemunho a outros. O futuro de uma pessoa ser bem sucedida na vida é ter um bom currículo e bom histórico  no passado para que o  futuro será excelente e próspero na vida.,1,1,É pior que a maioria delas se orgulham do passado delas. Ainda bem que o cara descobriu se não estaria condenado a viver em um inferno pelo resto da vida.Esse rapaz teve foi um livramento dos grandes e com certeza deve ter dado testemunho a outros. O futuro de uma pessoa ser bem sucedida na vida é ter um bom currículo e bom histórico  no passado para que o  futuro será excelente e próspero na vida.,0.08637348,0.087343692779541,0.08637348,0.0025939941,0.0052906936,0.032028005,comentarios_toxicidade,1,final_toxicidade,0.2,0
comentario_570789,"sempre é assim quando é pego começa chorar kkkkkk, e ainda culpa os homens é brincadeira absurdo",1,1,"sempre é assim quando é pego começa chorar kkkkkk, e ainda culpa os homens é brincadeira absurdo",0.3827457,0.0587086677551269,0.3827457,0.016706496,0.10293542,0.24928534,comentarios_toxicidade,1,final_toxicidade,0.2,1
comentario_1496932,Imagina aguentar essa doida berrando no teu ouvido todo santo dia.,1,1,Imagina aguentar essa doida berrando no teu ouvido todo santo dia.,0.4339631,0.0975418090820312,0.4014846,0.023076924,0.025203101,0.4339631,comentarios_toxicidade,1,final_toxicidade,0.2,1
comentario_902047,"TaMas era só um questionário para registrar sua profissão. Lá não tem opção de explicação sobre Oque é ser uma dona de casa, então isso foi em vão somente para seu reconhecimento.",0,0,"TaMas era só um questionário para registrar sua profissão. Lá não tem opção de explicação sobre Oque é ser uma dona de casa, então isso foi em vão somente para seu reconhecimento.",0.012817383,0.1067621707916259,0.012817383,0.0003361702,0.001674153,0.010856897,comentarios_toxicidade,0,final_toxicidade,0.2,0
comentario_733830,"Os bovinos agradece pelas referências dos mugidos padrão. MMMúúúúúúúúúúúú... ., 👀🐂🐃🦬🐃🐂😂😂😂😂😂😂",0,0,"Os bovinos agradece pelas referências dos mugidos padrão. MMMúúúúúúúúúúúú... ., 👀🐂🐃🦬🐃🐂😂😂😂😂😂😂",0.23523538,0.0875341892242431,0.23523538,0.014382465,0.025605056,0.16809943,comentarios_toxicidade,0,final_toxicidade,0.2,1
comentario_311009,Cara que pega mulher casada tem que ter consciência que um dia a conta pode chegar e tenho até o valor e os valores são 38.  380  ponto 40 ou outros calibres então tomem cuidado,0,1,Cara que pega mulher casada tem que ter consciência que um dia a conta pode chegar e tenho até o valor e os valores são 38.  380  ponto 40 ou outros calibres então tomem cuidado,0.08083374,0.0412445068359375,0.08083374,0.0047302246,0.025806036,0.02212623,comentarios_toxicidade,1,final_toxicidade,0.2,0
comentario_1583300,"VERDADE CRIA JUIZO PAIZÃO,  METE MARCHA",0,0,"VERDADE CRIA JUIZO PAIZÃO,  METE MARCHA",0.048842013,0.0908648967742919,0.048842013,0.0017261505,0.0037737815,0.032468732,comentarios_toxicidade,0,final_toxicidade,0.2,0
comentario_2338218,"Meu pai um dia me disse nunca coloque um anel de brilhante em uma mão lisa, e cuidado com o sorriso das feras.",0,0,"Meu pai um dia me disse nunca coloque um anel de brilhante em uma mão lisa, e cuidado com o sorriso das feras.",0.0058931164,0.1663320064544677,0.0025917501,0.00017166138,0.00036997857,0.0058931164,comentarios_toxicidade,0,final_toxicidade,0.2,0
comentario_836429,"Acho q sou beta ceboso, tenho fobia social e percebo q isso me distância das pessoas, principalmente mulheres enfim tbm sou beta nerd sou terrível em esportes e sou calvo , gosto de falar de filmes, séries,animes e teorias da conspiração.Infelizmente isso é pouco a atraente para as minas",0,0,"Acho q sou beta ceboso, tenho fobia social e percebo q isso me distância das pessoas, principalmente mulheres enfim tbm sou beta nerd sou terrível em esportes e sou calvo , gosto de falar de filmes, séries,animes e teorias da conspiração.Infelizmente isso é pouco a atraente para as minas",0.25462922,0.0993111133575439,0.25462922,0.015867263,0.16159154,0.16337912,comentarios_toxicidade,0,final_toxicidade,0.2,1
comentario_430194,Concordo com você...Conselhos bons para a realidade da maioria do povo.,0,0,Concordo com você...Conselhos bons para a realidade da maioria do povo.,0.006648371,0.1092231273651123,0.0049950094,0.00028967857,0.0006890851,0.006648371,comentarios_toxicidade,0,final_toxicidade,0.2,0
