id_comentario_anonimizado,comentario,final_misoginia,final_toxicidade,texto_analise,score_perspective_max,latencia_api,detalhe_toxicity,detalhe_severe,detalhe_identity,detalhe_insult,tipo_origem,unified_label,original_label_column
comentario_1848912,"  está sentindo o que a maioria delas cobram de seus parceiros, trabalhar fora, ajudar nos trabalhos de casa e  ser amoroso...🤷🏽‍♀️",0,0,"  está sentindo o que a maioria delas cobram de seus parceiros, trabalhar fora, ajudar nos trabalhos de casa e  ser amoroso...🤷🏽‍♀️",0.046368107,0.09599804878234863,0.046368107,0.001001358,0.0071035884,0.022190686,comentarios_toxicidade,0,final_toxicidade
comentario_2374701,A conta chega. Zuou como se não houvesse amanhã. Só que o amanhã chegou.,0,0,A conta chega. Zuou como se não houvesse amanhã. Só que o amanhã chegou.,0.017843807,0.07503509521484375,0.017843807,0.0006914139,0.001276426,0.012718908,comentarios_toxicidade,0,final_toxicidade
comentario_271384,Deu no G1 que o Moreno Tatuado já está fazendo um regime e malhando os braços,0,0,Deu no G1 que o Moreno Tatuado já está fazendo um regime e malhando os braços,0.11119666,0.09565520286560059,0.11119666,0.0048065186,0.009175468,0.06652143,comentarios_toxicidade,0,final_toxicidade
comentario_704368,"Sempre fui assim, porém fui chamada de chato e com o apoio da ordinária da mãe, preferiram me mandar embora de casa, porém não desisti da minha filha e por amor a ela contínuo cuidando dela mesmo nao morando mais juntos.",0,1,"Sempre fui assim, porém fui chamada de chato e com o apoio da ordinária da mãe, preferiram me mandar embora de casa, porém não desisti da minha filha e por amor a ela contínuo cuidando dela mesmo nao morando mais juntos.",0.015833238,0.06031608581542969,0.015833238,0.0006580353,0.0023678627,0.013554913,comentarios_toxicidade,1,final_toxicidade
comentario_1884143,"Surreal bróder, mas essas pessoas que ganham muito dinheiro de maneira repentina acabam não tendo estrutura psicológica e emocional pra fazer bom uso do patrimônio.",0,0,"Surreal bróder, mas essas pessoas que ganham muito dinheiro de maneira repentina acabam não tendo estrutura psicológica e emocional pra fazer bom uso do patrimônio.",0.09308127,0.10026073455810547,0.09308127,0.0015830994,0.009915425,0.061276767,comentarios_toxicidade,0,final_toxicidade
comentario_77487,Bora traduzir porque tá veia .Frescura pra falar o óbvio.,0,0,Bora traduzir porque tá veia .Frescura pra falar o óbvio.,0.11181668,0.08596587181091309,0.11181668,0.0026893616,0.0046247323,0.06599696,comentarios_toxicidade,0,final_toxicidade
comentario_1089178,"Eu faria a mesma coisa, mais que corta o coração 😢😢. Tão linda!!!😊😊.",0,0,"Eu faria a mesma coisa, mais que corta o coração 😢😢. Tão linda!!!😊😊.",0.015204934,0.08931207656860352,0.015204934,0.0010681152,0.0011191851,0.0068003717,comentarios_toxicidade,0,final_toxicidade
comentario_376754,A mulher sempre acha que o homem quer fazer algo com ela ...e ela tem razão tem muito homem ruim igual ele falou nao importa a cor o que se leva em conta é a maldade...esse cara é uma boa pessoa com certeza tera alguém esperando a alma desse justo se um dia ele partir,1,1,A mulher sempre acha que o homem quer fazer algo com ela ...e ela tem razão tem muito homem ruim igual ele falou nao importa a cor o que se leva em conta é a maldade...esse cara é uma boa pessoa com certeza tera alguém esperando a alma desse justo se um dia ele partir,0.14429577,0.07576322555541992,0.14429577,0.007095337,0.03919895,0.07270074,comentarios_toxicidade,1,final_toxicidade
comentario_2292130,Meu Deus do céu q mundo é esse Jesus,0,0,Meu Deus do céu q mundo é esse Jesus,0.03545588,0.10410404205322266,0.03545588,0.0025749207,0.008361516,0.017420914,comentarios_toxicidade,0,final_toxicidade
comentario_2771484,Eu acho que a maioria dos homens pensariam que os corpos deles pertencem a eles então vão reclamar,0,0,Eu acho que a maioria dos homens pensariam que os corpos deles pertencem a eles então vão reclamar,0.123468354,0.0961141586303711,0.123468354,0.005378723,0.04151922,0.029493837,comentarios_toxicidade,0,final_toxicidade
comentario_1915551,"Não tenho filhos mas tenho um excelente carro uma vida boa cuidando da minha saúde um dinheiro guardado e se  Deus permitir em breve estudando medicina veterinária , e aprendi com o passar do tempo que pessoas que se consideram melhores por terem filhos ou casamento ""perfeito""devem ser ignoradas pois não vão agregar em nada",0,0,"Não tenho filhos mas tenho um excelente carro uma vida boa cuidando da minha saúde um dinheiro guardado e se  Deus permitir em breve estudando medicina veterinária , e aprendi com o passar do tempo que pessoas que se consideram melhores por terem filhos ou casamento ""perfeito""devem ser ignoradas pois não vão agregar em nada",0.0926474,0.0603327751159668,0.0926474,0.002336502,0.017364962,0.05144889,comentarios_toxicidade,0,final_toxicidade
comentario_2790337,"É padrinho, é aquilo que você disse: "" nós estamos lascados ,"""" o que resta são os restos dos espólios e estar vivo e em pé, para podermos cavar as covas e enterrar os mortos dessa guerra.",0,0,"É padrinho, é aquilo que você disse: "" nós estamos lascados ,"""" o que resta são os restos dos espólios e estar vivo e em pé, para podermos cavar as covas e enterrar os mortos dessa guerra.",0.23451406,0.0829164981842041,0.23451406,0.010147095,0.028628819,0.06372428,comentarios_toxicidade,0,final_toxicidade
comentario_1662657,"Os homens podem sofrer todo tipo de violência no Brasil e não tem proteção estatal , realmente não está dando pra viver no Brasil . Além da carga tributária e este socialismo que aí está tem estas leis sexistas e misândricas que não param de aprovar . É absurdo ! Este SC e Es são os estados onde fazem mais leis assim , estados feministas , realmente estou com ranso mais ainda do Brasil !",0,1,"Os homens podem sofrer todo tipo de violência no Brasil e não tem proteção estatal , realmente não está dando pra viver no Brasil . Além da carga tributária e este socialismo que aí está tem estas leis sexistas e misândricas que não param de aprovar . É absurdo ! Este SC e Es são os estados onde fazem mais leis assim , estados feministas , realmente estou com ranso mais ainda do Brasil !",0.3048984,0.06307697296142578,0.3048984,0.020127986,0.2803029,0.26957804,comentarios_toxicidade,1,final_toxicidade
comentario_805163,A gente precisa mesmo e de Deus,0,0,A gente precisa mesmo e de Deus,0.013822667,0.09572052955627441,0.013822667,0.00096797943,0.005401687,0.008405882,comentarios_toxicidade,0,final_toxicidade
comentario_568831,"O cara é bombado, é alto ( 1.96), tem dinheiro, carro bom, paga tudo pra ela e ainda assim, ela não está satisfeita com.ele?Esse mercado sexual tá mais insano do que eu imaginava.",1,1,"O cara é bombado, é alto ( 1.96), tem dinheiro, carro bom, paga tudo pra ela e ainda assim, ela não está satisfeita com.ele?Esse mercado sexual tá mais insano do que eu imaginava.",0.2524482,0.09355306625366211,0.2524482,0.0126394415,0.02238941,0.077136256,comentarios_toxicidade,1,final_toxicidade
comentario_1710277,"Homens não estão mais chegando nas mulheres por dois motivos:  1- acusações falsas de assédio 2 - O sexo está muito fácil, portanto não vale a pena se arriscar a ser preso por falsa acusação de assédio ou ser ridicularizado por alguma madame com o ego inflado.",1,1,"Homens não estão mais chegando nas mulheres por dois motivos:  1- acusações falsas de assédio 2 - O sexo está muito fácil, portanto não vale a pena se arriscar a ser preso por falsa acusação de assédio ou ser ridicularizado por alguma madame com o ego inflado.",0.15103401,0.1030890941619873,0.15103401,0.013414118,0.08087392,0.07808672,comentarios_toxicidade,1,final_toxicidade
comentario_703163,Isso quer dizer dizer quando a mulher quer traiir ninguém segura,1,1,Isso quer dizer dizer quando a mulher quer traiir ninguém segura,0.17805049,0.08483600616455078,0.17805049,0.008239746,0.11047905,0.07396803,comentarios_toxicidade,1,final_toxicidade
comentario_765909,O contrário tá aq na minha cueca,0,1,O contrário tá aq na minha cueca,0.20839658,0.09378218650817871,0.20839658,0.009346008,0.0045322375,0.033019636,comentarios_toxicidade,1,final_toxicidade
