Comentário,misogino,toxico,observacoes
Ele cobrou o programa indiretamente 😂😂😂😂😂,0,0,
Meu boy? 😅😅😅 qual a diferença dela pra outra q mandou o video?  A outra tava cobrando.....Olá o vocábulo 😅😅😅😅,0,0,
Um ☝️ para prover e 100 para trocar o óleo 🛢 🛢 🛢 😅,0,0,
Ele chegou dando bom dia como se dormi se na sala😂😂😂😂😂,0,0,
"Poucos estão percebendo que estão impondo uma mudança radical na forma de crianças se vestirem, pra acelerar a descoberta e exibição da sensualidade. precoce.Quando uma criança posta fotos com roupas sensuais, qual tripo de público ela atrai?Então, fica a dica. Vistam seus filhos e filhas corretamente para não atraírem o mal.",0,0,
Falou bem e o contrário também é verdadeiro. Aprendamos!,0,0,
"O pior que ela está certa!Ela não tem culpa disso, não sei pq a zoação com a menina!Ta cheio de pai assim, o meu nunca me deixou trabalhar, e quando eu queria pra ganhar meu dinheiro ele conversava com o ""patrão"" pra ele acertar com ele e não cmg.Rapaziada essa parada é sério, meus maiores inimigos foram meus pais.",0,1,
"Penso da mesma forma ! Por favor, régua mais baixa.",0,0,
"tenho um inimigo que depois do divorcio com 1 filho (que ele sustenta assim como a mãe do remelento), já colocou dentro de casa novamente uma ""coisa"" com DOIS filhos marmanjos...estou amando kkkkkkkk",1,1,Menosprezo ao Papel Social ou Profissional de Mulheres
"Sinceramente, eu acho muito bem feito para homens que se sujeitaram à isso.",0,1,Tom Sarcástico ou Passivo-Agressivo com Intenção de Humilhar
"O jeito que ela olha e fala, que troxa do cara…",0,1,Uso de Ofensas ou Insultos Diretos
"@  o negócio é fazer calistenia na praça, qdo estou na academia só dou Bom dia, boa tarde ou boa noite pras empoderadas, depois nem olho pra evitar maiores  problemas",1,1,Generalizações Negativas sobre Mulheres
lestart cowaski don ..canal lestart cowaski ....dando uma prioridade lá,0,0,
"Com essa propaganda ai amigão se vai e rachar de tanto comer periquito, AVANTE PERIQUITEIROS TMJ❤",1,1,Sexualização ou Redução da Mulher a Estereótipos Sexuais
PAREM DE JULGAR A MOÇA GENTE...O AMOR DELA É REAL😅😅,1,1,"Tom Sarcástico ou Passivo-Agressivo com Intenção de Humilhar, Desqualificação Baseada no Gênero"
"Só tem uma coisa a falar "" diálogo"" isso é fundamental para um casamento durar pelo visto a senhora não sabe o que é isso uma coisa tão simples e o povo faz uma tempestade não concordo se um não gosta da atitude do outro tem que falar sim, pois é isso que amadurece o casal e não ficar juntando coisinhas até se tornar uma tempestade, sem contar que a pessoa casa com um homem e não com uma criança mal educada pq até uma criança sabe que não se deve jogar roupa no chão e mais engraçado é o moço do vídeo falando que tem que valorizar uma dessas sendo que claramente o marido não tá valorizando pq se valoriza se iria se importa com o trabalho dela e envés de bagunça ele iria ajudar",0,1,Desumanização e Despersonalização de Interlocutores:
"Verdade, essas mulheres que são muito arrumadinhas, cheias de procedimentos estéticos, só servem pra ficar 1 vez, depois nunca mais.",1,1,Generalizações Negativas sobre Mulheres:
Mas a TV lixo globo fica abrindo a boca  pra fala outra coisa,0,1,Uso de Ofensas ou Insultos Diretos:
"_Casamento: melhor maneira de ficar sem sexo, meu!😮😂😂😂_",0,1,Linguagem Repetidamente Negativa ou Detratora:
A esquerda tbm é péssima afinal for recriado o Ministério das Mulheres.A ideologia do feminismo foi criada pela esquerda.,1,1,Linguagem Repetidamente Negativa ou Detratora:
Ainda tem muito OTARIO que pega tem um detalhe sao bravo ainda,0,1,
O cara foi esperto mas essa mulher com toda certeza vai enganar outro e conseguir o que ela quer infelizmente.,1,1,
Meu Deus. Eu quero acreditar que isso é mentira.... 😮😮😅😅 Só pode ser brincadeira rsrs.,0,0,
Cada dia que passa sinto mais nojo desse mundo.,0,1,
"Homem de caráter = Homem que usa dinheiro pra pagar as borradas delas na vida.Mas pelo jeito, elas não tiveram muito caráter pra evitar sair dando vida a fora, né ?",1,1,
"Vdd, as vezes esse canal ensina cada besteira viu",0,1,
Pra a mulher da o número deve ser solteira,1,1,
"Não tem TPM, não engravida e gosta de homem (sim, mulher gosta é de dinheiro). Eu o entendo perfeitamente.",1,1,
De que homens ele ta falando? Me da a localização desse homem...Eu amo toque e os relacionamentos q tive eu sempre carinhosa prestativa cuidava dava atenção...mas prefere a rua a ex q traiu etc,0,0,
