id_comentario_anonimizado,comentario,final_misoginia,final_toxicidade,texto_analise,score_perspective_max,latencia_api,detalhe_toxicity,detalhe_severe,detalhe_identity,detalhe_insult,tipo_origem,unified_label,original_label_column,threshold_aplicado,pred_label
comentario_306692,É pior que a maioria delas se orgulham do passado delas. Ainda bem que o cara descobriu se não estaria condenado a viver em um inferno pelo resto da vida.Esse rapaz teve foi um livramento dos grandes e com certeza deve ter dado testemunho a outros. O futuro de uma pessoa ser bem sucedida na vida é ter um bom currículo e bom histórico  no passado para que o  futuro será excelente e próspero na vida.,1,1,É pior que a maioria delas se orgulham do passado delas. Ainda bem que o cara descobriu se não estaria condenado a viver em um inferno pelo resto da vida.Esse rapaz teve foi um livramento dos grandes e com certeza deve ter dado testemunho a outros. O futuro de uma pessoa ser bem sucedida na vida é ter um bom currículo e bom histórico  no passado para que o  futuro será excelente e próspero na vida.,0.085582085,0.0878162384033203,0.085582085,0.0025177002,0.005253696,0.03158728,comentarios_misoginia,1,final_misoginia,0.2,0
comentario_68694,A história da chave e do cadeado,0,0,A história da chave e do cadeado,0.013005874,0.0764625072479248,0.013005874,0.00086307526,0.0017573982,0.008519882,comentarios_misoginia,0,final_misoginia,0.2,0
comentario_2024273,"Não precisa ser raparigueiro para cair nesse golpe, basta ter o azar de dar carona para uma vagabunda destas daí, aqui em Brasília muitos coroas caíram nesse golpe de dar carona para certas minas bonitas!",1,1,"Não precisa ser raparigueiro para cair nesse golpe, basta ter o azar de dar carona para uma vagabunda destas daí, aqui em Brasília muitos coroas caíram nesse golpe de dar carona para certas minas bonitas!",0.5130944,0.0994307994842529,0.50503236,0.26195827,0.25647953,0.5130944,comentarios_misoginia,1,final_misoginia,0.2,1
comentario_1848912,"  está sentindo o que a maioria delas cobram de seus parceiros, trabalhar fora, ajudar nos trabalhos de casa e  ser amoroso...🤷🏽‍♀️",0,0,"  está sentindo o que a maioria delas cobram de seus parceiros, trabalhar fora, ajudar nos trabalhos de casa e  ser amoroso...🤷🏽‍♀️",0.045873325,0.0461766719818115,0.045873325,0.00096321106,0.0068076057,0.02212623,comentarios_misoginia,0,final_misoginia,0.2,0
comentario_1995049,O egoísmo é foda... Às vezes pensar somente em si faz o outro sofrer. E quem não tiver empatia para se colocar no lugar do outro não vai conseguir enxergar os problemas. Quando resolver abrir os olhos será tarde demais.Mas é isso. As pessoas não valorizam as boas coisas que possuem. Costumam valorizar só depois que perdem ou quando fazem as escolhas erradas.É como esse marido imbecil.,0,1,O egoísmo é foda... Às vezes pensar somente em si faz o outro sofrer. E quem não tiver empatia para se colocar no lugar do outro não vai conseguir enxergar os problemas. Quando resolver abrir os olhos será tarde demais.Mas é isso. As pessoas não valorizam as boas coisas que possuem. Costumam valorizar só depois que perdem ou quando fazem as escolhas erradas.É como esse marido imbecil.,0.5739874,0.0930891036987304,0.52139956,0.12019568,0.051808115,0.5739874,comentarios_misoginia,0,final_misoginia,0.2,1
comentario_2625054,E ajudar o ajudante a ser pedreiro… casei com um ajudante e de tanto falar na cabeça dele hoje ele é pedreiro e eletricista.,0,0,E ajudar o ajudante a ser pedreiro… casei com um ajudante e de tanto falar na cabeça dele hoje ele é pedreiro e eletricista.,0.02107848,0.0942311286926269,0.02107848,0.00057935715,0.0013781702,0.018258847,comentarios_misoginia,0,final_misoginia,0.2,0
comentario_1008453,"Estão solteiros porque não querem ter responsabilidades ,nem querem ficar preso em uma só mulher, safadeza está no DNA deles .",0,1,"Estão solteiros porque não querem ter responsabilidades ,nem querem ficar preso em uma só mulher, safadeza está no DNA deles .",0.40975618,0.0781333446502685,0.3722269,0.022710243,0.26325142,0.40975618,comentarios_misoginia,0,final_misoginia,0.2,1
comentario_1495713,Ele tava possuído pelo 9 CASCOS do PT,0,1,Ele tava possuído pelo 9 CASCOS do PT,0.11150667,0.087181806564331,0.11150667,0.005302429,0.011099357,0.06739554,comentarios_misoginia,0,final_misoginia,0.2,0
comentario_1624418,"@ -iz6cnSe não vai pagar não vai comer , é namoro mas vai querer sexo né ? Então não paga não come 😂",0,1,"@ -iz6cnSe não vai pagar não vai comer , é namoro mas vai querer sexo né ? Então não paga não come 😂",0.3250515,0.0940761566162109,0.3250515,0.019224197,0.015958117,0.08410009,comentarios_misoginia,0,final_misoginia,0.2,1
comentario_1583300,"VERDADE CRIA JUIZO PAIZÃO,  METE MARCHA",0,0,"VERDADE CRIA JUIZO PAIZÃO,  METE MARCHA",0.048842013,0.0917558670043945,0.048842013,0.0017356873,0.0038292783,0.032468732,comentarios_misoginia,0,final_misoginia,0.2,0
