original_id,original_prompt,llm_response
video_1001,Só casa com mulher linda por que será? #homem #homens #homemdevalor #homemmoderno #motivação,1
video_10136,Qual a diferença entre amar e gostar da utilidade da outra pessoa? 📕 - AntiOtário 🔱 - Código Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ComboManual,0
video_10139,"Mulher Fica Mais Feliz Com Homem Mais Velho? A Verdade Você já se perguntou por que muitas mulheres preferem homens mais velhos? Neste vídeo, vamos explorar os motivos que fazem muitas mulheres se sentirem mais felizes ao lado de parceiros mais experientes. Será a maturidade e estabilidade a chave para o sucesso no relacionamento? Venha descobrir! #Relacionamento #MulherFeliz #HomensMaisVelhos #Psicologia #Maturidade",0
video_10155,Tem momentos na vida que a gente acha que está dando tudo errado mas é só o começo para algo maior 🗿 - Antiotario🔱 - Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ImperioCombo,0
video_10160,"VOCÊ ESTÁ SE ESPELHANDO COM O OUTRO  #homemdealtovalor #seducao #podcast #comportamentomasculino 📕 Descubra o poder do Método Alpha: método definitivo para transformar sua vida amorosa."" Acesse o link abaixo:https://bit.ly/47tJ0bQ- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Instagram:   Tik Tok:  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - #desenvolvimentomasculino #seducao #homemdealtovalor #relacionamento",1
video_10179,"Em menos de 1 ano de separado consegui uma moto e mn casa, e a ex tá no fnd do poço e grávida 🗿 - Antiotario🔱 - Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ImperioCombo",1
video_10256,1 ano que minha mãe se foi 📕 - AntiOtário 🔱 - Código Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ComboManual,0
video_10259,"DEPOIS DE SE SEPRAR, FAZ COISAS QUE ANTES NÃO FAZIA QUANDO ERA CASADO #relacionamento #namoro #casamentonapraia #casal #masculino #macho#seduçao #machoalfa #redpilled #masculinidade #homemdevalor#redpillbrasil #namorosafado #conquistarmulheres #reconquistar #casamento#conquistarmulher #conquistarumamor #fabricioacunha #fabricioacunhamentor #machomacho#amor #cortespodcast #mulher #homem",1
video_10277,O homem deve bancar as mulheres #sedução #fofoca #conquista #sedutor #conquistar #homemdevalor,1
video_10279,"Abra o seu negócio, você não precisa ser rico para começar a empreender 🗿 - Antiotario🔱 - Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ImperioCombo",0
video_10315,Os homens amam de forma verdadeira 📕 - AntiOtário 🔱 - Código Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ComboManual,0
video_10339,"Solteiro por Escolha? A Verdade Nua e Crua dos Homens de Valor! Descubra por que tantos homens de valor e bem-sucedidos estão optando pela vida solteira e abrindo mão de relacionamentos amorosos. Exploramos as razões por trás dessa decisão, desde prioridades de carreira e autodesenvolvimento até a busca por paz e liberdade. Entenda a perspectiva masculina sobre relacionamentos modernos e o que realmente importa para um homem de valor solteiro. #homemdesolteiro #solteiro #relacionamento #homemdevalor #independencia #liberdade #autoconhecimento #desenvolvimentopessoal #masculinidade #verdadesobreossolteiros",0
video_10364,"VILELA foi CHUT4DO pela EX 10 DE 10 #mentalidadeblack #mestredablack #redpill #desenvolvimentopessoal #masculinidade CURSO BITCOIN 10 REAIS:mercado pago:https://mpago.la/12Cyu4ochave PIX para pagamento no mercado pago:22992232841PIX concluido,é só chamar no whatsapp e informar o comprovante:https://wa.me/5522992232841COMBO JOVEM EMPRESÁRIO:https://pay.kiwify.com.br/jQ9YQDv?afid=zh8vwn7LESSE CANAL trata da perspectiva MASCULINA do mundo moderno e DESENVOLVIMENTO PESSOAL opiniões sarcásticas e humoradaspeço respeito nos comentários",1
video_10373,Como fazer um implante capilar? | Thiago Schutz #shorts #reflexão #calvo #implantecapilar #amor #fyp,0
video_10389,"Maior prova de amor • Rodrigo Faro | Marçal Talks Transforme sua mente e inspire-se diariamente! Inscreva-se no The Red Pill para reflexões profundas, motivação e sabedoria que vão mudar sua vida.➥ Método Youtuber Milionário 💸 https://go.hotmart.com/R94269713VMais um produto em parceria com Peter Jordan (Ei Nerd!), onde você irá aprender ainda mais formas de ganhar dinheiro com seu canal do Youtube.➥ Redes Sociais ✂:📲  Instagram: https://www.instagram.com/the_redpill1📲  TikTok: https://www.tiktok.com/ 📲  Youtube: https://www.youtube.com/ ➥ Compartilhe este vídeo:https://youtube.com/shorts/HcSVmrk_MMA➥ Se inscreva no canalhttps://www.youtube.com/ ?sub_confirmation=1📌 Créditos:🎙 RODRIGO FARO DIZ COMO LIDAR COM HATERS NO MARÇAL TALKS➜ https://youtu.be/OXGCIQn89AYThe Red PillCortes podcastPodcast motivacionaisPodcast sobre relacionamentoMaior prova de amor • Rodrigo Faro | Marçal Talks",0
video_10415,"Ser Engraçado Ajuda  a Conquistar M1N4S ? Novo Canal Alternativo - https://www.youtube.com/ -c7dQual Sua Atratividade Facial De 1-10? Obtenha Sua Analise 🔍😊👤💡📏https://abre.ai/iX8DAdiquira o Ebook ""Guia De Looksmaxxing De 10 Etapas""  👔✨📚📝👩‍🎨👨‍🎨📖https://abre.ai/iX8EAdiquira o Ebook "" Looksmaxxing De Maneira Errada"" GRATIS""   👔✨📚📝👩‍🎨https://abre.ai/iX8HMe Siga No Instagram  👣👉📸😊https://urlgeni.us/instagram/N0KqWMe Siga No TikTok  👣👉🎵😊https://urlgeni.us/tiktok/xcIwWMe Siga No Face 👣👉📘😊https://urlgeni.us/facebook/HEnL",1
video_10522,Você resolve pedir a menina em namoro mas descobre que ela ainda mantém contato com o ex 🗿 - Antiotario🔱 - Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ImperioCombo,1
video_10657,Namorando um homem de verdade | Qual a sua opinião? #rafaelaires  #antiotario  #redpillbrasil,1
video_10711,Agora aprendi homem #homem #homens #homemdevalor #homemmoderno #motivação,0
video_10724,Você tem controle emocional? | Thiago Schutz #shorts #reflexão #amor #relacionamento #fyp #casal,0
video_10749,Trairia a namorada por 50k? | Qual a sua opinião? #rafaelaires  #antiotario  #redpillbrasil,1
video_10847,"Vale a pena se relacionar com mulher depressiva #VSM #relacionamentosEntre para o Super Aulão de VSM: http://bit.ly/3RUC29n Neste vídeo, Gabriel Amorim dá as melhores dicas para você esquecer sua ex-namorada e virar a página de uma vez por todas.",1
video_10855,"A MULHER NÃO DEVE GOSTAR DISSO  #homemdealtovalor   #seducao #desenvolvimentomasculino 📕 Descubra o poder do Método Alpha: método definitivo para transformar sua vida amorosa."" Acesse o link abaixo:https://bit.ly/47tJ0bQ- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Instagram:   Tik Tok:  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - #desenvolvimentomasculino #seducao #homemdealtovalor #relacionamento",1
video_10881,Existem 3 tipos de homens #sedução #paquera #conquista #fofoca #homemdevalor,1
video_10891,MULHERES QUE VIVEM NAS REDES SOCIAIS NÃO SÃO DE VALOR #relacionamento #namoro #casamentonapraia #relacionamento #namoro #casamentonapraia #casal #masculino #macho#seduçao #machoalfa #redpilled #masculinidade #homemdevalor#redpillbrasil #namorosafado #conquistarmulheres #reconquistar #casamento#conquistarmulher #conquistarumamor #fabricioacunha #fabricioacunhamentor #machomacho#amor #cortespodcast #mulher #homem,1
video_10979,O que eu faço com esse dilema? | Thiago Schutz #shorts #reflexão #relacionamento #amor #mulher #fyp,0
video_10983,Se eu fosse homem eu fugiria desse tipo de homem 📕 - AntiOtário 🔱 - Código Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ComboManual,1
video_10993,"ISSO A MULHER DESCONFIA  #seducao  #homemdealtovalor #podcast #relacionamento 📕 Descubra o poder do Método Alpha: método definitivo para transformar sua vida amorosa."" Acesse o link abaixo:https://bit.ly/47tJ0bQ- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Instagram:   Tik Tok:  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - #desenvolvimentomasculino #seducao #homemdealtovalor #relacionamento",1
video_11003,A VIDA DO HOMEM É BASEADA EM OUTRO HOMEM PROCEDE? 🤔 📕- ANTIOTÁRIO: https://antiotarioprooficial.com/oferta/Instagram:   https://www.instagram.com/antiotariopro/Telegram: https://t.me/antiotarioproFacebook:  https://www.facebook.com/antiotariopro/,1
video_11011,Não vamos aceitar menos do que a gente merece 📕 - AntiOtário 🔱 - Código Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ComboManual,1
video_11059,"6 Sinais de Que Ele Está Te Testando (E Como Passar no Teste!) 6 sinais de que ele está te testando** e aprenda como reagir da forma certa para aumentar seu valor e conquistar respeito nos relacionamentos! 👑💖 Muitas mulheres falham nesses testes sem perceber, o que pode fazer um homem perder o interesse rapidamente. Mas hoje, vou te ensinar **como se posicionar como uma mulher de alto valor** e não cair nesses joguinhos emocionais. Inscreva-se no canal **Red Pill Feminina**, ative as notificações e comente: **Você já percebeu que um homem estava te testando?**  🔴 **ASSISTA TAMBÉM:**  👉 [Erros que fazem os homens perderem o interesse]  👉 [Como despertar desejo e compromisso da maneira certa]  💡 **Quer aprender mais sobre a mente masculina?** Então, clique no play e eleve seu valor agora mesmo! 🚀✨ #Relacionamentos #Namoro #MulherDeAltoValor  ---### **PARTE 02 - Referências, obras e autores citados no roteiro**  - **Rollo Tomassi** – Autor do livro *O Manual da Red Pill*  ---### **PARTE 03 - Palavras-chave (500 caracteres)**  relacionamento, namoro, conquista, como entender os homens, testes masculinos, sinais que ele está te testando, homem de alto valor, red pill feminina, psicologia masculina, dicas de relacionamento, jogos emocionais, como ser uma mulher de alto valor, valor feminino, como atrair um homem, manter um homem interessado, manipulação masculina, namoro inteligente, autoestima feminina, regras do namoro, como fazer um homem correr atrás, estratégias femininas, comportamento masculino, amor próprio  Se precisar de ajustes, é só avisar! 😊GRUPO TELEGRAM👇https://bit.ly/CanalRedpillfemininahttps://go.hotmart.com/Y97146592T?ap=c8bcCreditos Da Criação Do VideoRoteiro; Feito com Chat gpthttps://chatgpt.com/imagens Geradas com piclumenhttps://piclumen.com Capa do video feito com o canvahttps://www.canva.com/imagens da capa, fonte seaarthttps://www.seaart.ai/ptEdição completa do video, efeitos e animaçõeshttps://www.capcut.com/Voz do Video Marcushttps://www.capcut.com/",1
