original_id,original_prompt,llm_response
comentario_2575214,Porque sera que nao me assusto com isso nos dias de hoje 😮,0
comentario_1496932,Imagina aguentar essa doida berrando no teu ouvido todo santo dia.,1
comentario_2374701,A conta chega. Zuou como se não houvesse amanhã. Só que o amanhã chegou.,0
comentario_2717882,"Isso não é verdade, tem mulheres honradas sim. Eu me converti criança e graças a Deus nunca fiz coisas erradas. Peco porque perfeição só em Jesus, mas nunca fiz sexo de nenhuma forma com ninguém, me guardo para meu futuro esposo. Tento ser uma pessoa melhor a cada dia. Não generalizem, assim como tem mulheres que não prestam, tem muitos homens também. Contudo, ainda tem pessoas de valor.",0
comentario_311009,Cara que pega mulher casada tem que ter consciência que um dia a conta pode chegar e tenho até o valor e os valores são 38.  380  ponto 40 ou outros calibres então tomem cuidado,1
comentario_51055,"Muita falta, jamais viveria sem meu pai, meu marido e meu filho. Os homens da minha vida são tudo para mim, juntamente com a minha mamãe.",0
comentario_2389020,"Também não precisa acabar com a raça de vocês,por causa de algumas  loucas",1
comentario_231247,"Tinha que ter feito o serviço completo e terminado tudo ali. Ao ficar, você deu tempo para ela se vingar de você depois causando mais danos ainda.",1
comentario_2780441,Só tem aparênciaNem toda gp faz isso,0
comentario_271384,Deu no G1 que o Moreno Tatuado já está fazendo um regime e malhando os braços,0
comentario_77487,Bora traduzir porque tá veia .Frescura pra falar o óbvio.,0
comentario_258689,"A questão é ainda mais complexa porque envolve também a maternidade o que está afetando visivelmente a atual geração e assim sucessivamente. Nós mulheres devemos nos voltar para o feminino sagrado, para entender qual de fato é o nosso papel dentro da sociedade e conquistar o nosso verdadeiro espaço.",0
comentario_1642160,"o descaramento é tão grande, que nem disfarça o golpe. A melhor red, sempre vem delas mesmas.",1
comentario_376754,A mulher sempre acha que o homem quer fazer algo com ela ...e ela tem razão tem muito homem ruim igual ele falou nao importa a cor o que se leva em conta é a maldade...esse cara é uma boa pessoa com certeza tera alguém esperando a alma desse justo se um dia ele partir,1
comentario_2670460,kkk se der 360º volta pro mesmo lugar pow kkkkk,0
comentario_1060718,"Meninos procuram meninas, Homens procuram Mulheres.",1
comentario_2771484,Eu acho que a maioria dos homens pensariam que os corpos deles pertencem a eles então vão reclamar,1
comentario_2890260,"O Renan só fala merda, cara. Ele até tem um conteúdo legal, fala das leis e etc, mas o cara é todo arrogante, cheio de caras e bocas. É aquela coisa, pegar o que é bom do conteúdo dele, e o resto ignorar.",0
comentario_151917,Olha a voz dessa rapariga kkkkkk,0
comentario_386687,O catolicismo tá vindo com tudo,0
comentario_2185944,"A red nunca falha, a casa da dignissima em péssimas condições e falando que não quer homem liso daqui a pouco acaba o gás dela 😂😂 e vem pedir pix.",1
comentario_1915551,"Não tenho filhos mas tenho um excelente carro uma vida boa cuidando da minha saúde um dinheiro guardado e se  Deus permitir em breve estudando medicina veterinária , e aprendi com o passar do tempo que pessoas que se consideram melhores por terem filhos ou casamento ""perfeito""devem ser ignoradas pois não vão agregar em nada",0
comentario_2150068,"NUNCA que eu deixaria minha sogra sentar na parte de trás, ela é uma mulher mais de idade e merece respeito.",1
comentario_2790337,"É padrinho, é aquilo que você disse: "" nós estamos lascados ,"""" o que resta são os restos dos espólios e estar vivo e em pé, para podermos cavar as covas e enterrar os mortos dessa guerra.",1
comentario_2137989,"Você só vai fazer ela feliz com seu dinheirinho...mas quem vai traça-la é outro cara, você não otário!!!😅😅",1
comentario_2062341,50 mil é pouco. Falta ainda o boicote a esse tipinho de empresa!,0
comentario_58314,"Pela cara dele, ele estava gostando. Isso é nojento, concordo com a fala dela, a decadência da raça humana, feminismo reverso.",1
comentario_1290401,"valeu Copini, fiz varias  anotações para aplicar em um futuro próximo obrigado pelas dicas. que seu conteúdo bom chegue em mais pessoas que precisam de conhecimento",0
comentario_2169797,Só essa voz já embrulha o estômago,0
comentario_568831,"O cara é bombado, é alto ( 1.96), tem dinheiro, carro bom, paga tudo pra ela e ainda assim, ela não está satisfeita com.ele?Esse mercado sexual tá mais insano do que eu imaginava.",1
comentario_2988211,Parecem 02 idiotas olhando o prato pelo celular.,1
comentario_2104858,"Reparem que o ÚNICO que se da bem nessa história é o cara que não é casado, vai lá, come o abacaxi e vaza,os trouxas que são casado só se lascam.",1
comentario_1623967,Renatão se acaba de rir com feno Grego kkkkkk. 😂😂😂,0
comentario_1353753,"Tou na paz, faz tempo 🙌Don se identifica cmg",0
comentario_750615,"É , ÉEEEEEEEEEEEEEEEE ..................................",0
comentario_2677177,"O que eu vejo nesses videos é um ""declararam guerra entao é guerra"" porque elas estão forçando demais é como se fosse uma resposta pra nossas reclamações e exigencias daí nas entrelinhas desses videos elas estão falando ""é isso mesmo! Vamos continuar exigindo e agora descaradamente, homem liso fica sozinho, vc tem que pagar sim, nós não abaixaremos a regua, continuaremos e ate aumentaremos a exigencia"" mas claro é um grupo nao a sociedade feminina inteira. Digo isso porque reparem nesses videos se não esta uma coisa forçada?",1
comentario_1342166,Isso só serve para fazer sabão 😂😂😂😂,0
comentario_2088368,"Parabéns porque até no meio evangélico perdeu se para alguns o temor, também sou cristã evangélica, é agente as vezes não é bem compreendido quando nos recusamos de alguma coisa que venha mexer com a reputação",0
comentario_466552,"Se não for ela, vão ser outra. Quem não presta mesmo é o marido, que casou e deixou esposa e filhos pra viajar com amante.",1
