id_comentario_anonimizado,comentario,final_misoginia,final_toxicidade,texto_analise,score_perspective_max,latencia_api,detalhe_toxicity,detalhe_severe,detalhe_identity,detalhe_insult,tipo_origem
comentario_655774,Venha logo asteroide e acaba com essa humanidade doentia e nojenta. Tudo por grana e fama!,0,1,Venha logo asteroide e acaba com essa humanidade doentia e nojenta. Tudo por grana e fama!,0.52139956,0.26656460762023926,0.52139956,0.35368225,0.18235919,0.5130944,comentarios
comentario_2750089,"UM mentiroso isso sim porque o ferimento no braço da Ana, todo mundo que assistiu o Programa apresentado pela Ana na Record viu muito bem o braço dela FERIDOA",0,1,"UM mentiroso isso sim porque o ferimento no braço da Ana, todo mundo que assistiu o Programa apresentado pela Ana na Record viu muito bem o braço dela FERIDOA",0.46476576,0.31127500534057617,0.37751234,0.01322045,0.010581387,0.46476576,comentarios
comentario_51055,"Muita falta, jamais viveria sem meu pai, meu marido e meu filho. Os homens da minha vida são tudo para mim, juntamente com a minha mamãe.",0,0,"Muita falta, jamais viveria sem meu pai, meu marido e meu filho. Os homens da minha vida são tudo para mim, juntamente com a minha mamãe.",0.013885498,0.29088592529296875,0.013885498,0.0009536743,0.00362579,0.008025879,comentarios
comentario_1882146,Olha se envolver com uma msol talvez já deu certo no passado mais agora com essa intoxicação feminista elas são as piores pq tem os filhos que podem ser usados na socioafetiva pra prejudicar os caras eu vi uma matéria que no Brasil o reconhecimento da paternidade socioafetiva cresceu 22% cuidado senhores,1,1,Olha se envolver com uma msol talvez já deu certo no passado mais agora com essa intoxicação feminista elas são as piores pq tem os filhos que podem ser usados na socioafetiva pra prejudicar os caras eu vi uma matéria que no Brasil o reconhecimento da paternidade socioafetiva cresceu 22% cuidado senhores,0.37082586,0.2743821144104004,0.34328604,0.023645958,0.37082586,0.3406697,comentarios
comentario_1624418,"@ -iz6cnSe não vai pagar não vai comer , é namoro mas vai querer sexo né ? Então não paga não come 😂",0,1,"@ -iz6cnSe não vai pagar não vai comer , é namoro mas vai querer sexo né ? Então não paga não come 😂",0.3260917,0.24384403228759766,0.3260917,0.019482423,0.016159095,0.08459369,comentarios
comentario_2389020,"Também não precisa acabar com a raça de vocês,por causa de algumas  loucas",1,1,"Também não precisa acabar com a raça de vocês,por causa de algumas  loucas",0.4339631,0.23471879959106445,0.4269174,0.16496792,0.36702603,0.4339631,comentarios
comentario_1612217,O que tenho a dizer é: 😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅,0,0,O que tenho a dizer é: 😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅,0.121732734,0.3054037094116211,0.121732734,0.009841919,0.006437627,0.028832749,comentarios
comentario_664708,tapa na cara aqui no Brasil só se auferido por uma mulher 😅,0,0,tapa na cara aqui no Brasil só se auferido por uma mulher 😅,0.36095104,0.28439807891845703,0.36095104,0.04397394,0.3043136,0.2679134,comentarios
comentario_977852,"Vce tem uma certa razão,mas o ppr que disso? Homem ganha melhor que a mulher,e  as outras solteiras dão em cima mesmo...",1,1,"Vce tem uma certa razão,mas o ppr que disso? Homem ganha melhor que a mulher,e  as outras solteiras dão em cima mesmo...",0.21866,0.25508904457092285,0.20032968,0.007247925,0.21866,0.08508729,comentarios
comentario_231247,"Tinha que ter feito o serviço completo e terminado tudo ali. Ao ficar, você deu tempo para ela se vingar de você depois causando mais danos ainda.",1,1,"Tinha que ter feito o serviço completo e terminado tudo ali. Ao ficar, você deu tempo para ela se vingar de você depois causando mais danos ainda.",0.09308127,0.29122185707092285,0.09308127,0.0026512146,0.001692652,0.030375287,comentarios
comentario_1844357,"Terrorismo na veia de homens que não sabem quem são, não sabem viver...",0,0,"Terrorismo na veia de homens que não sabem quem são, não sabem viver...",0.21642438,0.269040584564209,0.21642438,0.015221698,0.10293542,0.16809943,comentarios
comentario_258689,"A questão é ainda mais complexa porque envolve também a maternidade o que está afetando visivelmente a atual geração e assim sucessivamente. Nós mulheres devemos nos voltar para o feminino sagrado, para entender qual de fato é o nosso papel dentro da sociedade e conquistar o nosso verdadeiro espaço.",1,0,"A questão é ainda mais complexa porque envolve também a maternidade o que está afetando visivelmente a atual geração e assim sucessivamente. Nós mulheres devemos nos voltar para o feminino sagrado, para entender qual de fato é o nosso papel dentro da sociedade e conquistar o nosso verdadeiro espaço.",0.015079274,0.2667372226715088,0.015079274,0.0009822845,0.009767435,0.010818896,comentarios
comentario_2670460,kkk se der 360º volta pro mesmo lugar pow kkkkk,0,0,kkk se der 360º volta pro mesmo lugar pow kkkkk,0.2524482,0.27980828285217285,0.2524482,0.018449519,0.027815815,0.055547886,comentarios
comentario_1209697,Ja sabia que era uma casa por causa da legenda,0,0,Ja sabia que era uma casa por causa da legenda,0.008356431,0.2759819030761719,0.008356431,0.00051021576,0.0013319228,0.0069713728,comentarios
