id_comentario_anonimizado,comentario,final_misoginia,final_toxicidade,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,pred_label,threshold_aplicado
comentario_306692,É pior que a maioria delas se orgulham do passado delas. Ainda bem que o cara descobriu se não estaria condenado a viver em um inferno pelo resto da vida.Esse rapaz teve foi um livramento dos grandes e com certeza deve ter dado testemunho a outros. O futuro de uma pessoa ser bem sucedida na vida é ter um bom currículo e bom histórico  no passado para que o  futuro será excelente e próspero na vida.,1,1,0.02304154634475708,5.3249779739417136e-05,0.0009708595462143421,0.00013811112148687243,0.007078820839524269,0.00025985276442952454,0.00013132349704392254,0,0.4
comentario_570789,"sempre é assim quando é pego começa chorar kkkkkk, e ainda culpa os homens é brincadeira absurdo",1,1,0.424047589302063,0.00018453488883096725,0.0019808043725788593,0.0037844525650143623,0.34641796350479126,0.0008346618851646781,0.0005315666785463691,1,0.4
comentario_1496932,Imagina aguentar essa doida berrando no teu ouvido todo santo dia.,1,1,0.7801093459129333,0.00019643889390863478,0.006660694722086191,0.00050499162171036,0.6620713472366333,0.001445006113499403,0.0012960105668753386,1,0.4
comentario_902047,"TaMas era só um questionário para registrar sua profissão. Lá não tem opção de explicação sobre Oque é ser uma dona de casa, então isso foi em vão somente para seu reconhecimento.",0,0,0.008425385691225529,4.267789699952118e-05,0.0019774597603827715,0.0001338828878942877,0.005133636295795441,4.891661592409946e-05,0.00017424834368284792,0,0.4
comentario_733830,"Os bovinos agradece pelas referências dos mugidos padrão. MMMúúúúúúúúúúúú... ., 👀🐂🐃🦬🐃🐂😂😂😂😂😂😂",0,0,0.0010272396029904485,2.5203922632499598e-05,0.00036536072730086744,0.0001158355808001943,0.0006287803989835083,2.813028186210431e-05,3.4579436032800004e-05,0,0.4
comentario_311009,Cara que pega mulher casada tem que ter consciência que um dia a conta pode chegar e tenho até o valor e os valores são 38.  380  ponto 40 ou outros calibres então tomem cuidado,0,1,0.001543309772387147,5.728021278628148e-05,0.00045632111141458154,0.00021054352691862732,0.0005875976057723165,0.00010843435302376747,0.0002572229132056236,0,0.4
comentario_1583300,"VERDADE CRIA JUIZO PAIZÃO,  METE MARCHA",0,0,0.39759913086891174,0.004109303001314402,0.05419601872563362,0.005361882038414478,0.03901214897632599,0.008945096284151077,0.004221972078084946,0,0.4
comentario_2338218,"Meu pai um dia me disse nunca coloque um anel de brilhante em uma mão lisa, e cuidado com o sorriso das feras.",0,0,0.07372830808162689,0.00014934629143681377,0.005785222165286541,0.0005280181649141014,0.03208969905972481,0.0011936710216104984,0.003998822998255491,0,0.4
comentario_836429,"Acho q sou beta ceboso, tenho fobia social e percebo q isso me distância das pessoas, principalmente mulheres enfim tbm sou beta nerd sou terrível em esportes e sou calvo , gosto de falar de filmes, séries,animes e teorias da conspiração.Infelizmente isso é pouco a atraente para as minas",0,0,0.1617714762687683,0.00047470739809796214,0.006452708039432764,0.01192256435751915,0.04316839203238487,0.0007367022917605937,0.010222332552075386,0,0.4
comentario_430194,Concordo com você...Conselhos bons para a realidade da maioria do povo.,0,0,0.0005846833810210228,3.0155302738421597e-05,0.0003017013950739056,0.00010239178664050996,0.0002787077391985804,4.028859257232398e-05,3.4599823266034946e-05,0,0.4
comentario_2608796,Parabéns pela sua atitude...Um homem de alto valor não fica sem trabalho porque quer.As fazes da vida chega pra todos... não importa se é homem ou mulher.,0,0,0.007986078970134258,0.0005216086865402758,0.0014766691019758582,0.0032128721941262484,0.002824100200086832,0.0007551191374659538,0.00121185346506536,0,0.4
comentario_2756954,"HOMENS, não se iludam com essas mulheres/feministas, narcisistas, tóxicas e abusivas atualmente, pois se você quiser ter sérios e graves problemas na sua vida, passar por situações idênticas e muito piores a que outros homens estão passando ou já passaram, se tornar refém, ter a sua vida transformada num caos, num calvário, num inferno, perder a sua paz, a sua sanidade mental, a sua tranquilidade, a sua qualidade de vida, sua saúde, suas forças, suas ótimas noites de sono, seu bem-estar, sua alegria de viver, seu sossego, a sua liberdade, seu dinheiro/patrimônio, sofrer falsas acusações e ainda poder ser preso. É muito fácil: seja mais um a cair no golpe do namoro firme, do ficar noivo, do morar juntos e do casamento. Não tem erro, a sua vida nunca mais será a mesma. Assim, além de sofrer horrores, você descobrirá pela dor o quanto ser um homem solteiro convicto é uma dádiva, é maravilhoso e é acima de tudo a suprema felicidade. A vida é feita de escolhas. Então, faça as suas!!! REDPILL AND MGTOW FOREVER.",1,1,0.40689390897750854,0.0018468413036316633,0.005768395494669676,0.01832524687051773,0.2918815612792969,0.0068364632315933704,0.004672791808843613,1,0.4
