original_id,original_prompt,llm_response
comentario_306692,É pior que a maioria delas se orgulham do passado delas. Ainda bem que o cara descobriu se não estaria condenado a viver em um inferno pelo resto da vida.Esse rapaz teve foi um livramento dos grandes e com certeza deve ter dado testemunho a outros. O futuro de uma pessoa ser bem sucedida na vida é ter um bom currículo e bom histórico  no passado para que o  futuro será excelente e próspero na vida.,1
comentario_570789,"sempre é assim quando é pego começa chorar kkkkkk, e ainda culpa os homens é brincadeira absurdo",1
comentario_1496932,Imagina aguentar essa doida berrando no teu ouvido todo santo dia.,1
comentario_902047,"TaMas era só um questionário para registrar sua profissão. Lá não tem opção de explicação sobre Oque é ser uma dona de casa, então isso foi em vão somente para seu reconhecimento.",0
comentario_733830,"Os bovinos agradece pelas referências dos mugidos padrão. MMMúúúúúúúúúúúú... ., 👀🐂🐃🦬🐃🐂😂😂😂😂😂😂",0
comentario_311009,Cara que pega mulher casada tem que ter consciência que um dia a conta pode chegar e tenho até o valor e os valores são 38.  380  ponto 40 ou outros calibres então tomem cuidado,1
comentario_1583300,"VERDADE CRIA JUIZO PAIZÃO,  METE MARCHA",1
comentario_2338218,"Meu pai um dia me disse nunca coloque um anel de brilhante em uma mão lisa, e cuidado com o sorriso das feras.",0
comentario_836429,"Acho q sou beta ceboso, tenho fobia social e percebo q isso me distância das pessoas, principalmente mulheres enfim tbm sou beta nerd sou terrível em esportes e sou calvo , gosto de falar de filmes, séries,animes e teorias da conspiração.Infelizmente isso é pouco a atraente para as minas",0
comentario_430194,Concordo com você...Conselhos bons para a realidade da maioria do povo.,0
comentario_2608796,Parabéns pela sua atitude...Um homem de alto valor não fica sem trabalho porque quer.As fazes da vida chega pra todos... não importa se é homem ou mulher.,0
comentario_2756954,"HOMENS, não se iludam com essas mulheres/feministas, narcisistas, tóxicas e abusivas atualmente, pois se você quiser ter sérios e graves problemas na sua vida, passar por situações idênticas e muito piores a que outros homens estão passando ou já passaram, se tornar refém, ter a sua vida transformada num caos, num calvário, num inferno, perder a sua paz, a sua sanidade mental, a sua tranquilidade, a sua qualidade de vida, sua saúde, suas forças, suas ótimas noites de sono, seu bem-estar, sua alegria de viver, seu sossego, a sua liberdade, seu dinheiro/patrimônio, sofrer falsas acusações e ainda poder ser preso. É muito fácil: seja mais um a cair no golpe do namoro firme, do ficar noivo, do morar juntos e do casamento. Não tem erro, a sua vida nunca mais será a mesma. Assim, além de sofrer horrores, você descobrirá pela dor o quanto ser um homem solteiro convicto é uma dádiva, é maravilhoso e é acima de tudo a suprema felicidade. A vida é feita de escolhas. Então, faça as suas!!! REDPILL AND MGTOW FOREVER.",1
comentario_2709199,"Enquanto isso, o Vilela do inteligência limitada quer chamar o bonzinho do Edu Guedes. AFF.",1
comentario_1551226,Tá mas é daí q ela é cristã? Princípios morais existem dentro e fora das crenças.,0
comentario_1351157,"Cheguei conhecer casais idosos quando era criança, segundo os relatos deles a sociedade formada por homens e mulheres eram outro nível, como a socidade está destruída! Lamentável!!!",0
comentario_2314280,A decepção do Padrinho no início do vídeo é a mesma que a minha... KKKKKKKKKKKKKKKKKKKKKKK,0
comentario_1002073,"Só não entendi o rapaz com uma taça de vinho na mão, com essa cara sarcástica",0
comentario_652229,Engole o choro. Assuma as consequências.,1
comentario_34484,"cara, a mulherada de 17-18 aqui na escola tá tudo virada na pomba gira!😂 Elas tão distribuindo..vc nem chega elas que chegam...precisa correr atrás de Tia Neide não",1
comentario_875802,"Ela foi internada, e foi comprovado que ela tem problemas mentais e toma até remédios controlado.Por que vcs estão tratando como se fosse uma falta de caráter  ???? 🤷🏾‍♂️🤷🏾‍♂️🤷🏾‍♂️🤷🏾‍♂️🤷🏾‍♂️🤷🏾‍♂️🤷🏾‍♂️🤷🏾‍♂️ Doença é uma questão de caráter  ?????? Vcs que sujam a imagem da redphill.",1
comentario_139225,"Rsss! 😂😂😂 ""Você não falou que a gente é só amigo? Moço,  atende ela aqui por favor!""",1
