id_comentario_anonimizado,comentario,final_misoginia,final_toxicidade,texto_analise,score_perspective_max,latencia_api,detalhe_toxicity,detalhe_severe,detalhe_identity,detalhe_insult,tipo_origem,unified_label,original_label_column
comentario_2575214,Porque sera que nao me assusto com isso nos dias de hoje 😮,0,0,Porque sera que nao me assusto com isso nos dias de hoje 😮,0.016838523,0.06477999687194824,0.016838523,0.00071048737,0.0013874196,0.0092228865,comentarios_misoginia,0,final_misoginia
comentario_1496932,Imagina aguentar essa doida berrando no teu ouvido todo santo dia.,1,1,Imagina aguentar essa doida berrando no teu ouvido todo santo dia.,0.4339631,0.09237170219421387,0.4013387,0.023076924,0.024801146,0.4339631,comentarios_misoginia,1,final_misoginia
comentario_2374701,A conta chega. Zuou como se não houvesse amanhã. Só que o amanhã chegou.,0,0,A conta chega. Zuou como se não houvesse amanhã. Só que o amanhã chegou.,0.017843807,0.09640049934387207,0.017843807,0.0006914139,0.001276426,0.012718908,comentarios_misoginia,0,final_misoginia
comentario_2717882,"Isso não é verdade, tem mulheres honradas sim. Eu me converti criança e graças a Deus nunca fiz coisas erradas. Peco porque perfeição só em Jesus, mas nunca fiz sexo de nenhuma forma com ninguém, me guardo para meu futuro esposo. Tento ser uma pessoa melhor a cada dia. Não generalizem, assim como tem mulheres que não prestam, tem muitos homens também. Contudo, ainda tem pessoas de valor.",1,0,"Isso não é verdade, tem mulheres honradas sim. Eu me converti criança e graças a Deus nunca fiz coisas erradas. Peco porque perfeição só em Jesus, mas nunca fiz sexo de nenhuma forma com ninguém, me guardo para meu futuro esposo. Tento ser uma pessoa melhor a cada dia. Não generalizem, assim como tem mulheres que não prestam, tem muitos homens também. Contudo, ainda tem pessoas de valor.",0.13214645,0.0979623794555664,0.13214645,0.0062561035,0.03894114,0.032468732,comentarios_misoginia,1,final_misoginia
comentario_311009,Cara que pega mulher casada tem que ter consciência que um dia a conta pode chegar e tenho até o valor e os valores são 38.  380  ponto 40 ou outros calibres então tomem cuidado,0,1,Cara que pega mulher casada tem que ter consciência que um dia a conta pode chegar e tenho até o valor e os valores são 38.  380  ponto 40 ou outros calibres então tomem cuidado,0.08083374,0.06460428237915039,0.08083374,0.0047302246,0.025806036,0.02212623,comentarios_misoginia,0,final_misoginia
comentario_51055,"Muita falta, jamais viveria sem meu pai, meu marido e meu filho. Os homens da minha vida são tudo para mim, juntamente com a minha mamãe.",0,0,"Muita falta, jamais viveria sem meu pai, meu marido e meu filho. Os homens da minha vida são tudo para mim, juntamente com a minha mamãe.",0.013697007,0.08548617362976074,0.013697007,0.00093460083,0.0035147965,0.008044879,comentarios_misoginia,0,final_misoginia
comentario_2389020,"Também não precisa acabar com a raça de vocês,por causa de algumas  loucas",1,1,"Também não precisa acabar com a raça de vocês,por causa de algumas  loucas",0.43450394,0.09710168838500977,0.4269174,0.16233426,0.36702603,0.43450394,comentarios_misoginia,1,final_misoginia
comentario_231247,"Tinha que ter feito o serviço completo e terminado tudo ali. Ao ficar, você deu tempo para ela se vingar de você depois causando mais danos ainda.",1,1,"Tinha que ter feito o serviço completo e terminado tudo ali. Ao ficar, você deu tempo para ela se vingar de você depois causando mais danos ainda.",0.09308127,0.03254103660583496,0.09308127,0.0026512146,0.001692652,0.030375287,comentarios_misoginia,1,final_misoginia
comentario_2780441,Só tem aparênciaNem toda gp faz isso,1,0,Só tem aparênciaNem toda gp faz isso,0.011623607,0.09160113334655762,0.011623607,0.0005197525,0.0019053896,0.009640889,comentarios_misoginia,1,final_misoginia
comentario_271384,Deu no G1 que o Moreno Tatuado já está fazendo um regime e malhando os braços,0,0,Deu no G1 que o Moreno Tatuado já está fazendo um regime e malhando os braços,0.11119666,0.09976005554199219,0.11119666,0.0048065186,0.009175468,0.06652143,comentarios_misoginia,0,final_misoginia
comentario_77487,Bora traduzir porque tá veia .Frescura pra falar o óbvio.,0,0,Bora traduzir porque tá veia .Frescura pra falar o óbvio.,0.11181668,0.09433889389038086,0.11181668,0.0026893616,0.0046247323,0.06599696,comentarios_misoginia,0,final_misoginia
comentario_258689,"A questão é ainda mais complexa porque envolve também a maternidade o que está afetando visivelmente a atual geração e assim sucessivamente. Nós mulheres devemos nos voltar para o feminino sagrado, para entender qual de fato é o nosso papel dentro da sociedade e conquistar o nosso verdadeiro espaço.",1,0,"A questão é ainda mais complexa porque envolve também a maternidade o que está afetando visivelmente a atual geração e assim sucessivamente. Nós mulheres devemos nos voltar para o feminino sagrado, para entender qual de fato é o nosso papel dentro da sociedade e conquistar o nosso verdadeiro espaço.",0.015079274,0.0358579158782959,0.015079274,0.0009822845,0.009767435,0.010818896,comentarios_misoginia,1,final_misoginia
comentario_1642160,"o descaramento é tão grande, que nem disfarça o golpe. A melhor red, sempre vem delas mesmas.",1,1,"o descaramento é tão grande, que nem disfarça o golpe. A melhor red, sempre vem delas mesmas.",0.20973456,0.11403679847717285,0.20973456,0.0065612793,0.016259583,0.07428485,comentarios_misoginia,1,final_misoginia
comentario_376754,A mulher sempre acha que o homem quer fazer algo com ela ...e ela tem razão tem muito homem ruim igual ele falou nao importa a cor o que se leva em conta é a maldade...esse cara é uma boa pessoa com certeza tera alguém esperando a alma desse justo se um dia ele partir,1,1,A mulher sempre acha que o homem quer fazer algo com ela ...e ela tem razão tem muito homem ruim igual ele falou nao importa a cor o que se leva em conta é a maldade...esse cara é uma boa pessoa com certeza tera alguém esperando a alma desse justo se um dia ele partir,0.14429577,0.04555869102478027,0.14429577,0.007095337,0.03919895,0.07270074,comentarios_misoginia,1,final_misoginia
comentario_2670460,kkk se der 360º volta pro mesmo lugar pow kkkkk,0,0,kkk se der 360º volta pro mesmo lugar pow kkkkk,0.2540519,0.07806944847106934,0.2540519,0.018707745,0.02821777,0.056719027,comentarios_misoginia,0,final_misoginia
comentario_1060718,"Meninos procuram meninas, Homens procuram Mulheres.",0,0,"Meninos procuram meninas, Homens procuram Mulheres.",0.0049122353,0.08806252479553223,0.00045551974,1.244247e-05,0.0001630218,0.0049122353,comentarios_misoginia,0,final_misoginia
comentario_2771484,Eu acho que a maioria dos homens pensariam que os corpos deles pertencem a eles então vão reclamar,0,0,Eu acho que a maioria dos homens pensariam que os corpos deles pertencem a eles então vão reclamar,0.123468354,0.10131335258483887,0.123468354,0.005378723,0.04151922,0.029493837,comentarios_misoginia,0,final_misoginia
comentario_2890260,"O Renan só fala merda, cara. Ele até tem um conteúdo legal, fala das leis e etc, mas o cara é todo arrogante, cheio de caras e bocas. É aquela coisa, pegar o que é bom do conteúdo dele, e o resto ignorar.",0,1,"O Renan só fala merda, cara. Ele até tem um conteúdo legal, fala das leis e etc, mas o cara é todo arrogante, cheio de caras e bocas. É aquela coisa, pegar o que é bom do conteúdo dele, e o resto ignorar.",0.6261769,0.0833275318145752,0.5885171,0.16960317,0.04332388,0.6261769,comentarios_misoginia,0,final_misoginia
comentario_151917,Olha a voz dessa rapariga kkkkkk,1,1,Olha a voz dessa rapariga kkkkkk,0.5130944,0.08745980262756348,0.4421347,0.024960563,0.047706615,0.5130944,comentarios_misoginia,1,final_misoginia
comentario_386687,O catolicismo tá vindo com tudo,0,0,O catolicismo tá vindo com tudo,0.09872158,0.10561013221740723,0.09872158,0.0046539307,0.07508347,0.020192537,comentarios_misoginia,0,final_misoginia
comentario_2185944,"A red nunca falha, a casa da dignissima em péssimas condições e falando que não quer homem liso daqui a pouco acaba o gás dela 😂😂 e vem pedir pix.",1,1,"A red nunca falha, a casa da dignissima em péssimas condições e falando que não quer homem liso daqui a pouco acaba o gás dela 😂😂 e vem pedir pix.",0.27525392,0.07804322242736816,0.27525392,0.015609037,0.022590388,0.24928534,comentarios_misoginia,1,final_misoginia
comentario_1915551,"Não tenho filhos mas tenho um excelente carro uma vida boa cuidando da minha saúde um dinheiro guardado e se  Deus permitir em breve estudando medicina veterinária , e aprendi com o passar do tempo que pessoas que se consideram melhores por terem filhos ou casamento ""perfeito""devem ser ignoradas pois não vão agregar em nada",0,0,"Não tenho filhos mas tenho um excelente carro uma vida boa cuidando da minha saúde um dinheiro guardado e se  Deus permitir em breve estudando medicina veterinária , e aprendi com o passar do tempo que pessoas que se consideram melhores por terem filhos ou casamento ""perfeito""devem ser ignoradas pois não vão agregar em nada",0.0926474,0.09174633026123047,0.0926474,0.002336502,0.017364962,0.05144889,comentarios_misoginia,0,final_misoginia
comentario_2150068,"NUNCA que eu deixaria minha sogra sentar na parte de trás, ela é uma mulher mais de idade e merece respeito.",0,0,"NUNCA que eu deixaria minha sogra sentar na parte de trás, ela é uma mulher mais de idade e merece respeito.",0.23162876,0.09849309921264648,0.23162876,0.0073242188,0.016259583,0.034011267,comentarios_misoginia,0,final_misoginia
comentario_2790337,"É padrinho, é aquilo que você disse: "" nós estamos lascados ,"""" o que resta são os restos dos espólios e estar vivo e em pé, para podermos cavar as covas e enterrar os mortos dessa guerra.",0,0,"É padrinho, é aquilo que você disse: "" nós estamos lascados ,"""" o que resta são os restos dos espólios e estar vivo e em pé, para podermos cavar as covas e enterrar os mortos dessa guerra.",0.2330714,0.09158897399902344,0.2330714,0.009918213,0.02721288,0.06302499,comentarios_misoginia,0,final_misoginia
comentario_2137989,"Você só vai fazer ela feliz com seu dinheirinho...mas quem vai traça-la é outro cara, você não otário!!!😅😅",1,1,"Você só vai fazer ela feliz com seu dinheirinho...mas quem vai traça-la é outro cara, você não otário!!!😅😅",0.47357693,0.08655285835266113,0.42129645,0.016641939,0.009212466,0.47357693,comentarios_misoginia,1,final_misoginia
