id_video_anonimizado,text,final_misoginia,final_toxicidade
video_10084,As pessoas podem mudar? | Thiago Schutz #reflexão #fyp,0,0
video_10114,AS LEIS DEFENDEM AS MULHERES napraia napraia ed devalorbrasil safado mentor macho,1,1
video_10147,A verdade por trás dos posts sensuais! | Qual a sua opinião? brasil🔥 🔥📕 ✅ ✅ ✅ Adquira o seu agora! ⤵➡️| .,0,1
video_10157,Mulheres Israelitas 🎯😍,1,0
video_10172,"OS HOMENS NÃO QUEREM MAIS FICAR FAZENDO A VONTADE DAS MULHERES E ELAS ESTÃO DESESPERADAS#humor#memes Olá! video do canal, hoje vamos falar, sobre o porquê que o homem deve malhar e treinar. não se esqueça de se além disso para não perder nenhum video. vamos começar;",1,1
video_10201,Homem quando a mulher é Rodada o que pode acontecer,1,0
video_10241,Traição não começa em um quarto de motel porque nada começa grande 🔐 - Entrada no Esse é apenas o começo! 🗿👇🔗 |,0,0
video_10254,"A diferença entre o louco e o gênio é o resultado 1- 📕2- Domine as lições do nosso livro 3- Faça parte do nosso ., livro de desenvolvimento pessoal mais vendido do país. 🫡",0,0
video_10266,"Os Homens ACORDARAM! Agora São Eles Que Escolhem as Mulheres de Valor! ✅👉 Se você gostou do meu conteúdo e quer ajudar o Canal, faça a sua doação aqui: 👇👇👇 (Vai me ajudar muito 🙏) VÍDEOS EXCLUSIVOS PARA MEMBROS SEJA MEMBRO DO CANAL PARA LIVES E VÍDEOS EXCLUSIVOS Os homens realmente mudaram ou as mulheres estão ficando desesperadas? 🚨Neste vídeo, analiso a nova realidade onde os homens estão cada vez mais espertos, identificando mulheres interesseiras e de baixo valor. Enquanto algumas mulheres reclamam que ""os homens estão frouxos e sem atitude"", a verdade é que eles simplesmente não querem mais perder tempo e energia com quem não tem nada a oferecer.📌 O que você vai ver neste vídeo:✔️ Por que os homens não abordam mais mulheres como antes✔️ O verdadeiro motivo pelo qual muitos preferem ficar solteiros✔️ Como os homens estão se valorizando e escolhendo melhor🔻 Comente aqui: Você acha que os homens estão certos em evitar certos tipos de relacionamento?⚠️ Se inscreva no canal e ative o sininho para mais vídeos sobre desenvolvimento masculino e mentalidade de sucesso!",1,1
video_10321,Vale a pena casamento hoje em dia? | Thiago Schutz #reflexão #fyp,0,0
video_10353,O juízo final está próximo. Arrependa-se! #evolução devalor #valores #motivação #react #respeito #humildade #principios #evoluir,0,0
