id_video_anonimizado,text,final_misoginia,final_toxicidade,texto_analise,score_perspective_max,latencia_api,detalhe_toxicity,detalhe_severe,detalhe_identity,detalhe_insult,tipo_origem
video_10084,As pessoas podem mudar? | Thiago Schutz #shorts #reflexão #relacionamento #amor #mulher #fyp,0,0,As pessoas podem mudar? | Thiago Schutz #shorts #reflexão #relacionamento #amor #mulher #fyp,0.00654387,0.2848398685455322,0.0048065186,0.00047922134,0.0013596712,0.00654387,videos
video_10114,AS LEIS DEFENDEM AS MULHERES #relacionamento #namoro #casamentonapraia #casal #masculino #macho #relacionamento #namoro #casamentonapraia #casal #masculino #macho#seduçao #machoalfa #redpilled #masculinidade #homemdevalor#redpillbrasil #namorosafado #conquistarmulheres #reconquistar #casamento#conquistarmulher #conquistarumamor #fabricioacunha #fabricioacunhamentor #machomacho#amor #cortespodcast #mulher #homem,1,1,AS LEIS DEFENDEM AS MULHERES #relacionamento #namoro #casamentonapraia #casal #masculino #macho #relacionamento #namoro #casamentonapraia #casal #masculino #macho#seduçao #machoalfa #redpilled #masculinidade #homemdevalor#redpillbrasil #namorosafado #conquistarmulheres #reconquistar #casamento#conquistarmulher #conquistarumamor #fabricioacunha #fabricioacunhamentor #machomacho#amor #cortespodcast #mulher #homem,0.0063918694,0.3188784122467041,0.0035027897,0.0006008148,0.0013226734,0.0063918694,videos
video_10147,"A verdade por trás dos posts sensuais! | Qual a sua opinião? #rafaelaires #antiotario #redpillbrasil🔥 Pare de ser feito de Otário! 🔥📕 Manual AntiOtário✅ Evitar manipulações e jogos emocionais✅ Se posicionar com inteligência nos relacionamentos✅ Torne-se a melhor versão de si mesmo📚 Adquira o seu agora! ⤵➡️| hotm.art/geracaoantiotario🚀 O livro que te ensina a se impor, evitar ciladas e nunca mais ser feito de trouxa.",0,1,"A verdade por trás dos posts sensuais! | Qual a sua opinião? #rafaelaires #antiotario #redpillbrasil🔥 Pare de ser feito de Otário! 🔥📕 Manual AntiOtário✅ Evitar manipulações e jogos emocionais✅ Se posicionar com inteligência nos relacionamentos✅ Torne-se a melhor versão de si mesmo📚 Adquira o seu agora! ⤵➡️| hotm.art/geracaoantiotario🚀 O livro que te ensina a se impor, evitar ciladas e nunca mais ser feito de trouxa.",0.20195828,0.2887256145477295,0.20195828,0.015092585,0.012441003,0.13607834,videos
video_10157,Mulheres Israelitas 🎯😍,1,0,Mulheres Israelitas 🎯😍,0.049831573,0.2857053279876709,0.049831573,0.0044441223,0.038167715,0.017356457,videos
video_10172,"OS HOMENS NÃO QUEREM MAIS FICAR FAZENDO A VONTADE DAS MULHERES E ELAS ESTÃO DESESPERADAS#humor#memes Olá! seja bem vindo a mais um video do canal, hoje vamos falar, sobre o porquê que o homem deve malhar e treinar. não se esqueça de se inscrever no canal e deixar o like  além disso ative o sininho de notificações para não perder nenhum video. vamos começar;",1,1,"OS HOMENS NÃO QUEREM MAIS FICAR FAZENDO A VONTADE DAS MULHERES E ELAS ESTÃO DESESPERADAS#humor#memes Olá! seja bem vindo a mais um video do canal, hoje vamos falar, sobre o porquê que o homem deve malhar e treinar. não se esqueça de se inscrever no canal e deixar o like  além disso ative o sininho de notificações para não perder nenhum video. vamos começar;",0.2854971,0.2848186492919922,0.2854971,0.019095084,0.23163283,0.0720671,videos
video_10201,Homem quando a mulher é Rodada o que pode acontecer #homem #homens #motivacao,1,0,Homem quando a mulher é Rodada o que pode acontecer #homem #homens #motivacao,0.042657252,0.25681376457214355,0.042657252,0.0026130676,0.016460562,0.020708188,videos
video_10241,Traição não começa em um quarto de motel porque nada começa grande 📕 - AntiOtário 🔱 - Código Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ComboManual,0,0,Traição não começa em um quarto de motel porque nada começa grande 📕 - AntiOtário 🔱 - Código Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ComboManual,0.17805049,0.2666900157928467,0.17805049,0.015350811,0.014752249,0.032909457,videos
video_10254,"A diferença entre o louco e o gênio é o resultado 1- Adquira o Antiotário 📕2- Domine as lições do nosso livro 3- Faça parte do nosso grupo privado.➡️ https://manualantiotario.com/AntiOtário, livro de desenvolvimento pessoal mais vendido do país. 🫡",0,0,"A diferença entre o louco e o gênio é o resultado 1- Adquira o Antiotário 📕2- Domine as lições do nosso livro 3- Faça parte do nosso grupo privado.➡️ https://manualantiotario.com/AntiOtário, livro de desenvolvimento pessoal mais vendido do país. 🫡",0.037577134,0.2768440246582031,0.037577134,0.0012207031,0.0032558115,0.024511116,videos
video_10266,"Os Homens ACORDARAM! Agora São Eles Que Escolhem as Mulheres de Valor! ✅👉  Se você gostou do meu conteúdo e quer ajudar o Canal, faça a sua doação aqui: 👇👇👇 (Vai me ajudar muito 🙏)https://livepix.gg/fabricioacunha✅👉 VÍDEOS EXCLUSIVOS PARA MEMBROShttps://www.youtube.com/playlist?list=UUMOdVVI9mJUzGWShsD80poZMg✅👉 SEJA MEMBRO DO CANAL PARA LIVES E VÍDEOS EXCLUSIVOShttps://www.youtube.com/channel/UCdVVI9mJUzGWShsD80poZMg/join🚨 Os homens realmente mudaram ou as mulheres estão ficando desesperadas? 🚨Neste vídeo, analiso a nova realidade onde os homens estão cada vez mais espertos, identificando mulheres interesseiras e de baixo valor. Enquanto algumas mulheres reclamam que ""os homens estão frouxos e sem atitude"", a verdade é que eles simplesmente não querem mais perder tempo e energia com quem não tem nada a oferecer.📌 O que você vai ver neste vídeo:✔️ Por que os homens não abordam mais mulheres como antes✔️ O verdadeiro motivo pelo qual muitos preferem ficar solteiros✔️ Como os homens estão se valorizando e escolhendo melhor🔻 Comente aqui: Você acha que os homens estão certos em evitar certos tipos de relacionamento?⚠️ Se inscreva no canal e ative o sininho para mais vídeos sobre desenvolvimento masculino e mentalidade de sucesso!",1,1,"Os Homens ACORDARAM! Agora São Eles Que Escolhem as Mulheres de Valor! ✅👉  Se você gostou do meu conteúdo e quer ajudar o Canal, faça a sua doação aqui: 👇👇👇 (Vai me ajudar muito 🙏)https://livepix.gg/fabricioacunha✅👉 VÍDEOS EXCLUSIVOS PARA MEMBROShttps://www.youtube.com/playlist?list=UUMOdVVI9mJUzGWShsD80poZMg✅👉 SEJA MEMBRO DO CANAL PARA LIVES E VÍDEOS EXCLUSIVOShttps://www.youtube.com/channel/UCdVVI9mJUzGWShsD80poZMg/join🚨 Os homens realmente mudaram ou as mulheres estão ficando desesperadas? 🚨Neste vídeo, analiso a nova realidade onde os homens estão cada vez mais espertos, identificando mulheres interesseiras e de baixo valor. Enquanto algumas mulheres reclamam que ""os homens estão frouxos e sem atitude"", a verdade é que eles simplesmente não querem mais perder tempo e energia com quem não tem nada a oferecer.📌 O que você vai ver neste vídeo:✔️ Por que os homens não abordam mais mulheres como antes✔️ O verdadeiro motivo pelo qual muitos preferem ficar solteiros✔️ Como os homens estão se valorizando e escolhendo melhor🔻 Comente aqui: Você acha que os homens estão certos em evitar certos tipos de relacionamento?⚠️ Se inscreva no canal e ative o sininho para mais vídeos sobre desenvolvimento masculino e mentalidade de sucesso!",0.11098998,0.27791595458984375,0.11098998,0.011062622,0.062039822,0.032909457,videos
video_10321,Vale a pena casamento hoje em dia? | Thiago Schutz #shorts #relacionamento #casamento #reflexão #fyp,0,0,Vale a pena casamento hoje em dia? | Thiago Schutz #shorts #relacionamento #casamento #reflexão #fyp,0.00648687,0.2890801429748535,0.005340576,0.0004339218,0.0012024303,0.00648687,videos
